Scenario,True_positives,False_positives,False_negatives,Precision,Recall
33,1,2,8,0.3333333333333333,0.1111111111111111
27,3,3,3,0.5,0.5
26,2,3,9,0.4,0.18181818181818182
32,1,3,10,0.25,0.09090909090909091
24,3,2,0,0.6,1.0
30,4,0,0,1.0,1.0
18,2,2,9,0.5,0.18181818181818182
31,1,2,6,0.3333333333333333,0.14285714285714285
25,5,2,0,0.7142857142857143,1.0
21,1,2,10,0.3333333333333333,0.09090909090909091
35,3,1,3,0.75,0.5
34,0,6,10,0.0,0.0
20,5,4,3,0.5555555555555556,0.625
36,4,1,4,0.8,0.5
22,4,0,0,1.0,1.0
37,2,2,7,0.5,0.2222222222222222
50,2,20,6,0.09090909090909091,0.25
47,0,3,6,0.0,0.0
53,1,2,10,0.3333333333333333,0.09090909090909091
52,2,6,6,0.25,0.25
46,4,0,0,1.0,1.0
42,3,2,0,0.6,1.0
56,4,7,3,0.36363636363636365,0.5714285714285714
8,3,0,0,1.0,1.0
9,5,2,0,0.7142857142857143,1.0
57,1,2,6,0.3333333333333333,0.14285714285714285
43,1,2,6,0.3333333333333333,0.14285714285714285
69,5,0,0,1.0,1.0
55,3,1,3,0.75,0.5
41,3,3,3,0.5,0.5
40,1,4,6,0.2,0.14285714285714285
54,1,3,8,0.25,0.1111111111111111
68,5,3,3,0.625,0.625
65,5,1,4,0.8333333333333334,0.5555555555555556
59,1,2,6,0.3333333333333333,0.14285714285714285
7,2,5,4,0.2857142857142857,0.3333333333333333
6,3,11,10,0.21428571428571427,0.23076923076923078
58,4,2,0,0.6666666666666666,1.0
64,5,2,6,0.7142857142857143,0.45454545454545453
66,4,10,3,0.2857142857142857,0.5714285714285714
4,4,3,7,0.5714285714285714,0.36363636363636365
67,3,3,7,0.5,0.3
1,2,8,10,0.2,0.16666666666666666
62,1,19,10,0.05,0.09090909090909091
48,3,0,0,1.0,1.0
2,0,10,8,0.0,0.0
3,5,4,0,0.5555555555555556,1.0
61,2,6,6,0.25,0.25
49,2,16,10,0.1111111111111111,0.16666666666666666
12,3,1,3,0.75,0.5
13,2,3,12,0.4,0.14285714285714285
39,1,3,8,0.25,0.1111111111111111
28,1,5,6,0.16666666666666666,0.14285714285714285
14,0,5,12,0.0,0.0
15,0,9,11,0.0,0.0
29,2,6,6,0.25,0.25
17,5,0,0,1.0,1.0
16,5,4,0,0.5555555555555556,1.0
