,simplicity,generalization,perc_fit_traces,average_trace_fitness,log_fitness,percentage_of_fitting_traces,precision,f1_score,miner,dataset
0,1.0,0.098,100.0,1.0,1.0,100.0,1.0,1.0,alpha,simple_xor_split
1,1.0,0.507,33.333,0.822,0.8,33.333,0.571,0.667,alpha,loop_lenght_2
2,1.0,0.293,100.0,1.0,1.0,100.0,1.0,1.0,alpha,simple_sequence
3,1.0,0.293,100.0,1.0,1.0,100.0,1.0,1.0,alpha,simple_and_split
4,0.818,0.334,100.0,1.0,1.0,100.0,0.8,0.889,alpha,long_dependency
5,1.0,0.504,100.0,1.0,1.0,100.0,0.606,0.755,alpha,loop_lenght_1
6,1.0,0.304,33.333,0.867,0.846,33.333,0.696,0.764,alpha,overleaf_example
7,1.0,0.098,100.0,1.0,1.0,100.0,1.0,1.0,heuristic,simple_xor_split
8,1.0,0.49,100.0,1.0,1.0,100.0,0.958,0.979,heuristic,loop_lenght_2
9,1.0,0.293,100.0,1.0,1.0,100.0,1.0,1.0,heuristic,simple_sequence
10,1.0,0.293,100.0,1.0,1.0,100.0,1.0,1.0,heuristic,simple_and_split
11,0.818,0.334,100.0,1.0,1.0,100.0,0.8,0.889,heuristic,long_dependency
12,1.0,0.526,100.0,1.0,1.0,100.0,0.833,0.909,heuristic,loop_lenght_1
13,0.765,0.257,33.333,0.958,0.947,33.333,0.889,0.917,heuristic,overleaf_example
14,1.0,0.098,100.0,1.0,1.0,100.0,1.0,1.0,inductive,simple_xor_split
15,1.0,0.49,100.0,1.0,1.0,100.0,0.958,0.979,inductive,loop_lenght_2
16,1.0,0.293,100.0,1.0,1.0,100.0,1.0,1.0,inductive,simple_sequence
17,1.0,0.293,100.0,1.0,1.0,100.0,1.0,1.0,inductive,simple_and_split
18,0.818,0.334,100.0,1.0,1.0,100.0,0.8,0.889,inductive,long_dependency
19,1.0,0.526,100.0,1.0,1.0,100.0,0.833,0.909,inductive,loop_lenght_1
20,0.8,0.315,100.0,1.0,1.0,100.0,0.889,0.941,inductive,overleaf_example
21,0.846,0.117,50.0,0.875,0.9,50.0,1.0,0.947,gnn_miner,simple_xor_split
22,1.0,0.471,100.0,1.0,1.0,100.0,0.958,0.979,gnn_miner,loop_lenght_2
23,1.0,0.293,100.0,1.0,1.0,100.0,1.0,1.0,gnn_miner,simple_and_split
24,0.714,0.352,50.0,0.867,0.89,50.0,0.8,0.843,gnn_miner,long_dependency
25,1.0,0.492,100.0,1.0,1.0,100.0,0.833,0.909,gnn_miner,loop_lenght_1
26,0.882,0.273,0.0,0.597,0.594,0.0,0.765,0.668,gnn_miner,overleaf_example
27,0.714,0.098,0.0,0.667,0.667,0.0,0.333,0.444,aau_miner,simple_xor_split
28,0.6,0.507,0.0,0.303,0.286,0.0,0.25,0.267,aau_miner,loop_lenght_2
29,0.714,0.293,0.0,0.5,0.5,0.0,0.333,0.4,aau_miner,simple_sequence
30,0.6,0.293,0.0,0.4,0.4,0.0,0.25,0.308,aau_miner,simple_and_split
31,0.538,0.334,0.0,0.5,0.5,0.0,0.4,0.444,aau_miner,long_dependency
32,0.714,0.504,0.0,0.34,0.333,0.0,0.333,0.333,aau_miner,loop_lenght_1
33,0.6,0.304,0.0,0.489,0.462,0.0,0.25,0.324,aau_miner,overleaf_example
