,simplicity,generalization,perc_fit_traces,average_trace_fitness,log_fitness,percentage_of_fitting_traces,precision,f1_score,miner,dataset
0,1.0,0.098,100.0,1.0,1.0,100.0,1.0,1.0,alpha,simple_xor_split
1,1.0,0.507,33.333,0.822,0.8,33.333,0.571,0.667,alpha,loop_lenght_2
2,1.0,0.293,100.0,1.0,1.0,100.0,1.0,1.0,alpha,simple_sequence
3,1.0,0.293,100.0,1.0,1.0,100.0,1.0,1.0,alpha,simple_and_split
4,0.818,0.334,100.0,1.0,1.0,100.0,0.8,0.889,alpha,long_dependency
5,1.0,0.504,100.0,1.0,1.0,100.0,0.606,0.755,alpha,loop_lenght_1
6,1.0,0.098,100.0,1.0,1.0,100.0,1.0,1.0,heuristic,simple_xor_split
7,1.0,0.49,100.0,1.0,1.0,100.0,0.958,0.979,heuristic,loop_lenght_2
8,1.0,0.293,100.0,1.0,1.0,100.0,1.0,1.0,heuristic,simple_sequence
9,1.0,0.293,100.0,1.0,1.0,100.0,1.0,1.0,heuristic,simple_and_split
10,0.818,0.334,100.0,1.0,1.0,100.0,0.8,0.889,heuristic,long_dependency
11,1.0,0.526,100.0,1.0,1.0,100.0,0.833,0.909,heuristic,loop_lenght_1
12,1.0,0.098,100.0,1.0,1.0,100.0,1.0,1.0,inductive,simple_xor_split
13,1.0,0.49,100.0,1.0,1.0,100.0,0.958,0.979,inductive,loop_lenght_2
14,1.0,0.293,100.0,1.0,1.0,100.0,1.0,1.0,inductive,simple_sequence
15,1.0,0.293,100.0,1.0,1.0,100.0,1.0,1.0,inductive,simple_and_split
16,0.818,0.334,100.0,1.0,1.0,100.0,0.8,0.889,inductive,long_dependency
17,1.0,0.526,100.0,1.0,1.0,100.0,0.833,0.909,inductive,loop_lenght_1
