,simplicity,generalization,perc_fit_traces,average_trace_fitness,log_fitness,percentage_of_fitting_traces,precision,f1_score,miner,dataset
0,1.0,0.991,0.0,0.131,0.141,0.0,0.0,0.0,alpha,BPI_2017_O
1,0.478,0.913,0.0,0.135,0.14,0.0,0.0,0.0,alpha,sepsis
2,0.354,0.785,0.0,0.567,0.579,0.0,0.0,0.0,alpha,BPI_2020_Domestic_declarations
3,0.333,0.827,0.0,0.531,0.551,0.0,0.0,0.0,alpha,BPI_2020_Request_for_payment
4,0.402,0.978,0.0,0.422,0.434,0.0,0.0,0.0,alpha,BPI_2020_International_declarations
5,0.228,0.949,0.0,0.408,0.426,0.0,0.0,0.0,alpha,BPI_2020_Prepaid_travel_cost
6,0.395,0.982,0.0,0.522,0.549,0.0,1.0,0.709,alpha,BPI_2012_O
7,0.367,0.985,0.0,0.514,0.512,0.0,1.0,0.678,alpha,BPI_2012_A
8,0.657,0.986,0.0,0.261,0.333,0.0,0.0,0.0,alpha,road_traffic_fine
9,1.0,0.983,0.0,0.272,0.278,0.0,0.0,0.0,alpha,BPI_2020_Permit_log
10,0.826,0.993,0.0,0.554,0.552,0.0,0.0,0.0,alpha,BPI_2017_A
11,0.508,0.712,0.0,0.602,0.631,0.0,1.0,0.774,heuristic,BPI_2017_O
12,0.433,0.671,0.0,0.782,0.826,0.0,1.0,0.905,heuristic,sepsis
13,0.587,0.614,0.0,0.631,0.661,0.0,1.0,0.796,heuristic,BPI_2020_Domestic_declarations
14,0.563,0.562,0.0,0.676,0.7,0.0,1.0,0.824,heuristic,BPI_2020_Request_for_payment
15,0.565,0.695,0.0,0.741,0.757,0.0,1.0,0.862,heuristic,BPI_2020_International_declarations
16,0.56,0.637,0.0,0.716,0.739,0.0,1.0,0.85,heuristic,BPI_2020_Prepaid_travel_cost
17,0.571,0.607,0.0,0.604,0.616,0.0,1.0,0.763,heuristic,BPI_2012_O
18,0.625,0.763,0.0,0.487,0.57,0.0,1.0,0.726,heuristic,BPI_2012_A
19,0.546,0.746,0.0,0.515,0.594,0.0,1.0,0.745,heuristic,road_traffic_fine
20,0.561,0.714,0.0,0.707,0.733,0.0,1.0,0.846,heuristic,BPI_2020_Permit_log
21,0.617,0.825,0.0,0.774,0.785,0.0,1.0,0.879,heuristic,BPI_2017_A
22,0.684,0.818,0.0,0.778,0.834,0.0,1.0,0.909,inductive,BPI_2017_O
23,0.622,0.609,0.0,0.508,0.673,0.0,1.0,0.804,inductive,sepsis
24,0.6,0.596,0.0,0.738,0.754,0.0,1.0,0.86,inductive,BPI_2020_Domestic_declarations
25,0.606,0.683,0.0,0.805,0.827,0.0,1.0,0.905,inductive,BPI_2020_Request_for_payment
26,0.644,0.807,0.0,0.832,0.867,0.0,1.0,0.929,inductive,BPI_2020_International_declarations
27,0.595,0.807,0.0,0.841,0.86,0.0,1.0,0.925,inductive,BPI_2020_Prepaid_travel_cost
28,0.673,0.88,0.0,0.792,0.847,0.0,1.0,0.917,inductive,BPI_2012_O
29,0.674,0.856,0.0,0.657,0.672,0.0,1.0,0.804,inductive,BPI_2012_A
30,0.624,0.774,0.0,0.606,0.713,0.0,1.0,0.833,inductive,road_traffic_fine
31,0.632,0.805,0.0,0.717,0.748,0.0,1.0,0.856,inductive,BPI_2020_Permit_log
32,0.695,0.807,0.0,0.828,0.849,0.0,1.0,0.918,inductive,BPI_2017_A
