,simplicity,generalization,perc_fit_traces,average_trace_fitness,log_fitness,percentage_of_fitting_traces,precision,f1_score,miner,dataset
0,0.478,0.913,0.0,0.294,0.266,0.0,0.443,0.332,alpha,sepsis
1,0.228,0.949,0.0,0.455,0.469,0.0,0.0,0.0,alpha,BPI-2020-Prepaid-travel-cost
2,0.395,0.982,0.0,0.689,0.694,0.0,1.0,0.82,alpha,BPI-2012-O
3,1.0,0.991,0.0,0.693,0.657,0.0,0.341,0.449,alpha,BPI-2017-O
4,0.402,0.978,0.0,0.542,0.543,0.0,0.322,0.404,alpha,BPI-2020-International-declarations
5,0.657,0.986,0.0,0.674,0.638,0.0,0.662,0.65,alpha,traffic
6,0.826,0.993,0.0,0.783,0.775,0.0,0.427,0.55,alpha,BPI-2017-A
7,0.354,0.785,0.0,0.724,0.723,0.0,0.25,0.372,alpha,BPI-2020-Domestic-declarations
8,0.367,0.985,0.0,0.733,0.703,0.0,1.0,0.826,alpha,BPI-2012-A
9,0.333,0.827,0.0,0.681,0.683,0.0,0.0,0.0,alpha,payment
10,1.0,0.983,0.198,0.529,0.525,0.198,0.176,0.263,alpha,BPI-2020-Permit-log
11,0.433,0.842,3.333,0.885,0.897,3.333,0.704,0.789,heuristic,sepsis
12,0.56,0.714,23.184,0.886,0.895,23.184,0.871,0.882,heuristic,BPI-2020-Prepaid-travel-cost
13,0.571,0.875,4.207,0.907,0.885,4.207,1.0,0.939,heuristic,BPI-2012-O
14,0.508,0.896,0.0,0.845,0.843,0.0,0.994,0.912,heuristic,BPI-2017-O
15,0.565,0.854,4.326,0.885,0.89,4.326,0.953,0.921,heuristic,BPI-2020-International-declarations
16,0.548,0.898,52.78,0.919,0.928,52.78,0.991,0.959,heuristic,traffic
17,0.617,0.944,32.778,0.971,0.969,32.778,1.0,0.984,heuristic,BPI-2017-A
18,0.587,0.752,35.371,0.919,0.925,35.371,0.867,0.895,heuristic,BPI-2020-Domestic-declarations
19,0.625,0.888,30.114,0.859,0.89,30.114,1.0,0.942,heuristic,BPI-2012-A
20,0.563,0.681,40.372,0.934,0.938,40.372,0.86,0.897,heuristic,payment
21,0.561,0.904,0.58,0.862,0.864,0.58,0.944,0.903,heuristic,BPI-2020-Permit-log
22,0.622,0.902,100.0,1.0,1.0,100.0,0.333,0.5,inductive,sepsis
23,0.595,0.9,100.0,1.0,1.0,100.0,0.226,0.369,inductive,BPI-2020-Prepaid-travel-cost
24,0.673,0.98,100.0,1.0,1.0,100.0,0.552,0.711,inductive,BPI-2012-O
25,0.684,0.985,100.0,1.0,1.0,100.0,0.564,0.721,inductive,BPI-2017-O
26,0.644,0.936,100.0,1.0,1.0,100.0,0.263,0.417,inductive,BPI-2020-International-declarations
27,0.624,0.975,100.0,1.0,1.0,100.0,0.63,0.773,inductive,traffic
28,0.695,0.923,100.0,1.0,1.0,100.0,0.891,0.942,inductive,BPI-2017-A
29,0.6,0.855,100.0,1.0,1.0,100.0,0.391,0.562,inductive,BPI-2020-Domestic-declarations
30,0.674,0.976,100.0,1.0,1.0,100.0,0.635,0.776,inductive,BPI-2012-A
31,0.606,0.884,100.0,1.0,1.0,100.0,0.349,0.517,inductive,payment
32,0.632,0.953,100.0,1.0,1.0,100.0,0.24,0.387,inductive,BPI-2020-Permit-log
33,0.391,0.913,0.0,0.169,0.129,0.0,0.375,0.192,gnn,sepsis
34,0.385,0.949,0.0,0.22,0.208,0.0,0.111,0.145,gnn,BPI-2020-Prepaid-travel-cost
35,0.474,0.982,0.0,0.313,0.277,0.0,0.143,0.188,gnn,BPI-2012-O
36,0.455,0.991,0.0,0.31,0.28,0.0,0.125,0.173,gnn,BPI-2017-O
37,0.385,0.978,0.0,0.176,0.168,0.0,0.167,0.167,gnn,BPI-2020-International-declarations
38,0.419,0.986,0.0,0.48,0.422,0.0,0.091,0.15,gnn,traffic
39,0.429,0.993,0.0,0.244,0.232,0.0,0.1,0.14,gnn,BPI-2017-A
40,0.388,0.785,1.276,0.331,0.314,1.276,0.118,0.171,gnn,BPI-2020-Domestic-declarations
41,0.429,0.985,0.0,0.39,0.354,0.0,0.1,0.156,gnn,BPI-2012-A
42,0.385,0.827,1.046,0.333,0.315,1.046,0.111,0.164,gnn,payment
43,0.385,0.983,0.0,0.184,0.16,0.0,0.111,0.131,gnn,BPI-2020-Permit-log
